sample	R1_reads	R2_reads
AV241	8955391	8955391
AV243	9341473	9341473
AV243_2	26442	26442
AV244	8699486	8699486
AV246	20574421	20574421
AV249	11437387	11437387
AV250	9967518	9967518
AV251	6067948	6067948
AV252	5577047	5577047
AV253	10798066	10798066
AV253_2	162881	162881
AV254	10410295	10410295
AV256	7965637	7965637
AV259	6412780	6412780
AV260	5669990	5669990
AV261	10199123	10199123
AV262	6731965	6731965
AV263A	14941204	14941204
AV263B	13805306	13805306
AV264B	10259270	10259270
AV265	9364143	9364143
AV266	16766997	16766997
AV272	14395873	14395873
AV273	13082629	13082629
AV276	8201236	8201236
AV278	36011226	36011226
AV279	24588374	24588374
AV280	23281163	23281163
AV280_2	252934	252934
AV281	15903621	15903621
AV282	33950424	33950424
AV282_2	3520	3520
AV283	36775965	36775965
AV284	24414818	24414818
AV286	29262546	29262546
AV287	14836061	14836061
AV288	40500737	40500737
AV289	15875442	15875442
AV290	6607929	6607929
AV291	12136711	12136711
AV292	38631646	38631646
AV293	14745136	14745136
AV296	60186693	60186693
AV296_2	151415	151415
AV297	8595638	8595638
AV297_2	12491	12491
AV298	25148087	25148087
AV299	16210810	16210810
